Nom;Ville;IATA;OACI;Lat;Lon;Alt
Kimbe Airport;Hoskins;HKN;AYHK;-5.462170124053955;150.40499877929688;66
Kiunga Airport;Kiunga;UNG;AYKI;-6.1257100105285645;141.28199768066406;88
Kikori Airport;Kikori;KRI;AYKK;-7.424379825592041;144.2500762939453;50
Kerema Airport;Kerema;KMA;AYKM;-7.96361017227;145.770996094;10
Kavieng Airport;Kavieng;KVG;AYKV;-2.57940006256;150.807998657;7
Mendi Airport;Mendi;MDU;AYMN;-6.14774;143.656998;5680
Momote Airport;Momote;MAS;AYMO;-2.06189;147.423996;12
Moro Airport;Moro;MXH;AYMR;-6.36332988739;143.238006592;2740
Misima Island Airport;Misima Island;MIS;AYMS;-10.6892004013;152.837997437;26
Tari Airport;Tari;TIZ;AYTA;-5.84499979019;142.947998047;5500
Tabubil Airport;Tabubil;TBG;AYTB;-5.27861;141.225998;1570
Tokua Airport;Tokua;RAB;AYTK;-4.34045982361;152.380004883;32
Vanimo Airport;Vanimo;VAI;AYVN;-2.6926;141.3028;10
Wapenamanda Airport;Wapenamanda;WBM;AYWD;-5.64330005645752;143.89500427246094;5889
Alluitsup Paa Heliport;Alluitsup Paa;LLU;BGAP;60.46445;-45.56917;54
Neerlerit Inaat Airport;Neerlerit Inaat;CNP;BGCO;70.7431030273;-22.650499343899998;45
Paamiut Heliport;Paamiut;JFR;BGFH;61.9921989441;-49.6624984741;63
Qeqertarsuaq Heliport;Qeqertarsuaq Airport;JGO;BGGN;69.251181993;-53.5148763657;9
Qaqortoq Heliport;Qaqortoq;JJU;BGJH;60.715684155299996;-46.0299186409;53
Maniitsoq Airport;Maniitsoq;JSU;BGMQ;65.4124984741;-52.939399719200004;91
Nanortalik Heliport;Nanortalik;JNN;BGNN;60.1418839759;-45.232976675;17
Narsaq Heliport;Narsaq;JNS;BGNS;60.9172827256;-46.059923172;83
Qaanaaq Airport;Qaanaaq;NAQ;BGQQ;77.4886016846;-69.3887023926;51
Sisimiut Airport;Sisimiut;JHS;BGSS;66.9513015747;-53.729301452600005;33
Upernavik Airport;Upernavik;JUV;BGUK;72.79019927979999;-56.130599975600006;414
Qaarsut Airport;Uummannaq;JQA;BGUQ;70.7341995239;-52.696201324499995;289
Grímsey Airport;Grímsey;GRY;BIGR;66.5458;-18.0173;66
Thorshofn Airport;Thorshofn;THO;BITN;66.21849822998047;-15.335599899291992;65
Vopnafjörður Airport;Vopnafjörður;VPN;BIVO;65.72059631347656;-14.850600242614744;16
Whistler/Green Lake Water Aerodrome;Whistler;YWS;CAE5;50.1436004639;-122.948997498;2100
